pool,effective_liability,unsafe
AS+AU+CS+CAS,0.01,1.0000000000000004
AS+AU+CS+CAS,0.011588746472002932,1.0
AS+AU+CS+CAS,0.01342990447923604,1.0
AS+AU+CS+CAS,0.015563575815308293,1.0
AS+AU+CS+CAS,0.018036233432140412,1.0
AS+AU+CS+CAS,0.020901733655493852,0.9999999999999998
AS+AU+CS+CAS,0.02422248921588492,1.0
AS+AU+CS+CAS,0.02807082864437154,1.0000000000000004
AS+AU+CS+CAS,0.03253057164186595,0.9999999999999996
AS+AU+CS+CAS,0.03769885473469127,1.0
AS+AU+CS+CAS,0.04368824698052044,0.9999999999999998
AS+AU+CS+CAS,0.050629201806349874,1.0
AS+AU+CS+CAS,0.058672898381366155,0.9999999999999998
AS+AU+CS+CAS,0.06799453441192435,0.9999999999999996
AS+AU+CS+CAS,0.07879714207816699,0.9999999999999998
AS+AU+CS+CAS,0.09131601022622714,1.0000000000000004
AS+AU+CS+CAS,0.10582380913465733,0.9999999999999998
AS+AU+CS+CAS,0.12263652947631717,0.992751607069855
AS+AU+CS+CAS,0.14212036483073542,0.9691553372575381
AS+AU+CS+CAS,0.16469968765319537,0.9394852780953037
AS+AU+CS+CAS,0.19086629242309525,0.902369316108229
AS+AU+CS+CAS,0.2211901072942425,0.8504969148601267
AS+AU+CS+CAS,0.2563316075548101,0.7828439913580867
AS+AU+CS+CAS,0.29705620127136456,0.7086793390487205
AS+AU+CS+CAS,0.3442509004470119,0.6189477348378339
AS+AU+CS+CAS,0.39894364080391415,0.5089570935151035
AS+AU+CS+CAS,0.4623256709894365,0.37628920171783115
AS+AU+CS+CAS,0.5357774988595218,0.23983690275806324
AS+AU+CS+CAS,0.6208989599686837,0.12292860648408419
AS+AU+CS+CAS,0.7195440631807373,0.12234489356355321
AS+AU+CS+CAS,0.8338613723636419,0.12147263622585355
AS+AU+CS+CAS,0.9663408037118678,0.12002932155922716
AS+AU+CS+CAS,1.1198678579768384,0.1167757694278535
AS+AU+CS+CAS,1.2977864688238567,0.08257338319247692
AS+AU+CS+CAS,1.503971836199561,0.0785453125997105
AS+AU+CS+CAS,1.7429148310749434,0.038947272415338685
AS+AU+CS+CAS,2.0198198099621334,1.0141008800893144e-24
AS+AU+CS+CAS,2.3407179696780283,7.739861803886034e-24
AS+AU+CS+CAS,2.7125987113060113,0.0
AS+AU+CS+CAS,3.143561874560724,3.7499836301160097e-28
AS+AU+CS+CAS,3.642994158333851,5.58647315516036e-24
AS+AU+CS+CAS,4.22177356999187,2.619480323859878e-28
AS+AU+CS+CAS,4.8925063564838505,0.31826289275411423
AS+AU+CS+CAS,5.669801577795415,0.264660424795291
AS+AU+CS+CAS,6.570589303163319,0.21796236492702886
AS+AU+CS+CAS,7.614489360601412,0.17773541235654916
AS+AU+CS+CAS,8.824238671377346,0.14345259386080003
AS+AU+CS+CAS,10.226186477103607,0.10896454528607792
AS+AU+CS+CAS,11.85086824585785,0.08652437802193955
AS+AU+CS+CAS,13.733670757435673,0.0602962323908692
AS+AU+CS+CAS,15.915602853788247,0.0470070727036695
AS+AU+CS+CAS,18.444188642163834,0.03463474869118788
AS+AU+CS+CAS,21.374502605583267,0.02301963971782017
AS+AU+CS+CAS,24.77036916612703,0.01648725438658345
AS+AU+CS+CAS,28.70575282841648,0.008554570279578854
AS+AU+CS+CAS,33.266369181649964,0.004098175856732514
AS+AU+CS+CAS,38.55155184901931,0.0013355654649661861
AS+AU+CS+CAS,44.67641604805606,2.7339459328247545e-30
AS+AU+CS+CAS,51.77436588586448,5.8357909610165545e-40
AS+AU+CS+CAS,60.0,5.217055996458208e-40
AS+CS+CAS,0.01,1.0
AS+CS+CAS,0.011588746472002932,1.0
AS+CS+CAS,0.01342990447923604,1.0
AS+CS+CAS,0.015563575815308293,1.0
AS+CS+CAS,0.018036233432140412,1.0
AS+CS+CAS,0.020901733655493852,1.0
AS+CS+CAS,0.02422248921588492,1.0
AS+CS+CAS,0.02807082864437154,1.0
AS+CS+CAS,0.03253057164186595,1.0
AS+CS+CAS,0.03769885473469127,1.0
AS+CS+CAS,0.04368824698052044,1.0
AS+CS+CAS,0.050629201806349874,1.0
AS+CS+CAS,0.058672898381366155,1.0
AS+CS+CAS,0.06799453441192435,1.0
AS+CS+CAS,0.07879714207816699,1.0
AS+CS+CAS,0.09131601022622714,1.0
AS+CS+CAS,0.10582380913465733,1.0
AS+CS+CAS,0.12263652947631717,0.985362023671973
AS+CS+CAS,0.14212036483073542,0.9405007215547684
AS+CS+CAS,0.16469968765319537,0.8885120958907491
AS+CS+CAS,0.19086629242309525,0.8282637956659301
AS+CS+CAS,0.2211901072942425,0.7584435679984759
AS+CS+CAS,0.2563316075548101,0.6775306762929109
AS+CS+CAS,0.29705620127136456,0.5837627774636696
AS+CS+CAS,0.3442509004470119,0.4750975367892181
AS+CS+CAS,0.39894364080391415,0.34916814433967935
AS+CS+CAS,0.4623256709894365,0.20323176409257304
AS+CS+CAS,0.5357774988595218,0.034109792920021274
AS+CS+CAS,0.6208989599686837,9.666363483110479e-21
AS+CS+CAS,0.7195440631807373,0.0
AS+CS+CAS,0.8338613723636419,0.0
AS+CS+CAS,0.9663408037118678,6.452717812129289e-24
AS+CS+CAS,1.1198678579768384,2.736290338406655e-25
AS+CS+CAS,1.2977864688238567,6.8298124971318415e-28
AS+CS+CAS,1.503971836199561,1.7011998679096897e-29
AS+CS+CAS,1.7429148310749434,4.213913887641117e-24
AS+CS+CAS,2.0198198099621334,0.0
AS+CS+CAS,2.3407179696780283,0.0
AS+CS+CAS,2.7125987113060113,1.7430661361644732e-24
AS+CS+CAS,3.143561874560724,4.950395009994567e-28
AS+CS+CAS,3.642994158333851,4.583874654900692e-24
AS+CS+CAS,4.22177356999187,1.8444025516125651e-25
AS+CS+CAS,4.8925063564838505,0.27403111788465173
AS+CS+CAS,5.669801577795415,0.22298857062309657
AS+CS+CAS,6.570589303163319,0.18741562532541103
AS+CS+CAS,7.614489360601412,0.1560754974958391
AS+CS+CAS,8.824238671377346,0.12878444181836032
AS+CS+CAS,10.226186477103607,0.10142609850531015
AS+CS+CAS,11.85086824585785,0.07918228709287306
AS+CS+CAS,13.733670757435673,0.0634733344443184
AS+CS+CAS,15.915602853788247,0.05004864555153521
AS+CS+CAS,18.444188642163834,0.03564670127731736
AS+CS+CAS,21.374502605583267,0.025664278431376013
AS+CS+CAS,24.77036916612703,0.016755748881512714
AS+CS+CAS,28.70575282841648,0.00942761221104717
AS+CS+CAS,33.266369181649964,0.0035917705364732857
AS+CS+CAS,38.55155184901931,0.000778287053332614
AS+CS+CAS,44.67641604805606,1.1204851606001937e-39
AS+CS+CAS,51.77436588586448,7.399632807285823e-35
AS+CS+CAS,60.0,8.197236276724047e-42
AS+CS,0.01,0.0
AS+CS,0.011588746472002932,0.0
AS+CS,0.01342990447923604,0.0
AS+CS,0.015563575815308293,0.0
AS+CS,0.018036233432140412,0.0
AS+CS,0.020901733655493852,0.0
AS+CS,0.02422248921588492,0.0
AS+CS,0.02807082864437154,0.0
AS+CS,0.03253057164186595,0.0
AS+CS,0.03769885473469127,0.0
AS+CS,0.04368824698052044,0.0
AS+CS,0.050629201806349874,0.0
AS+CS,0.058672898381366155,0.0
AS+CS,0.06799453441192435,0.0
AS+CS,0.07879714207816699,0.0
AS+CS,0.09131601022622714,0.0
AS+CS,0.10582380913465733,0.0
AS+CS,0.12263652947631717,0.0
AS+CS,0.14212036483073542,0.0
AS+CS,0.16469968765319537,0.0
AS+CS,0.19086629242309525,0.0
AS+CS,0.2211901072942425,0.0
AS+CS,0.2563316075548101,0.0
AS+CS,0.29705620127136456,0.0
AS+CS,0.3442509004470119,0.0
AS+CS,0.39894364080391415,0.0
AS+CS,0.4623256709894365,0.0
AS+CS,0.5357774988595218,0.0
AS+CS,0.6208989599686837,0.0
AS+CS,0.7195440631807373,0.0
AS+CS,0.8338613723636419,0.0
AS+CS,0.9663408037118678,0.0
AS+CS,1.1198678579768384,0.0
AS+CS,1.2977864688238567,0.0
AS+CS,1.503971836199561,0.0
AS+CS,1.7429148310749434,0.0
AS+CS,2.0198198099621334,0.0
AS+CS,2.3407179696780283,0.0
AS+CS,2.7125987113060113,0.0
AS+CS,3.143561874560724,0.0
AS+CS,3.642994158333851,0.0
AS+CS,4.22177356999187,0.0
AS+CS,4.8925063564838505,0.0
AS+CS,5.669801577795415,0.0
AS+CS,6.570589303163319,0.0
AS+CS,7.614489360601412,0.0
AS+CS,8.824238671377346,0.0
AS+CS,10.226186477103607,0.0
AS+CS,11.85086824585785,0.0
AS+CS,13.733670757435673,0.0
AS+CS,15.915602853788247,0.0
AS+CS,18.444188642163834,0.0
AS+CS,21.374502605583267,0.0
AS+CS,24.77036916612703,0.0
AS+CS,28.70575282841648,0.0
AS+CS,33.266369181649964,0.0
AS+CS,38.55155184901931,0.0
AS+CS,44.67641604805606,0.0
AS+CS,51.77436588586448,0.0
AS+CS,60.0,0.0
